Airport.Code,Airport.Name,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Total,Statistics.Minutes Delayed.Total
BOS,"Boston, MA: Logan International",792,5,111,268,2375,11458,118880
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",579,6,40,106,1389,8854,61240
CLT,"Charlotte, NC: Charlotte Douglas International",782,0,54,160,2687,10399,114908
DCA,"Washington, DC: Ronald Reagan Washington National",464,3,62,206,1603,7803,74501
DEN,"Denver, CO: Denver International",1983,11,169,465,5790,20057,302943
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2353,12,634,1707,6439,25391,357383
DTW,"Detroit, MI: Detroit Metro Wayne County",1270,10,77,267,3647,15054,188602
EWR,"Newark, NJ: Newark Liberty International",913,8,185,328,5046,12979,321551
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",490,3,35,33,1392,6123,64106
IAD,"Washington, DC: Washington Dulles International",778,2,51,175,1822,8572,99051
IAH,"Houston, TX: George Bush Intercontinental/Houston",1192,14,150,416,4035,18438,188246
JFK,"New York, NY: John F. Kennedy International",961,10,133,150,3223,10489,176941
LAS,"Las Vegas, NV: McCarran International",1295,12,88,161,3353,15054,152740
LAX,"Los Angeles, CA: Los Angeles International",1414,17,138,379,4351,19702,203613
LGA,"New York, NY: LaGuardia",717,4,181,444,3359,10623,178915
MCO,"Orlando, FL: Orlando International",690,4,66,70,2084,10279,95790
MDW,"Chicago, IL: Chicago Midway International",523,3,47,147,1304,8195,54300
MIA,"Miami, FL: Miami International",450,1,74,65,1379,5825,75791
MSP,"Minneapolis, MN: Minneapolis-St Paul International",807,12,82,172,2717,12952,139304
ORD,"Chicago, IL: Chicago O'Hare International",3248,6,257,1345,10628,31839,737403
PDX,"Portland, OR: Portland International",447,5,46,59,1132,4700,55793
PHL,"Philadelphia, PA: Philadelphia International",587,2,116,138,2249,8824,123589
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1144,15,151,382,4157,18181,189961
SAN,"San Diego, CA: San Diego International",562,9,54,109,1579,7674,70215
SEA,"Seattle, WA: Seattle/Tacoma International",811,15,63,161,2290,8492,113131
SFO,"San Francisco, CA: San Francisco International",803,7,92,183,2599,10928,132770
SLC,"Salt Lake City, UT: Salt Lake City International",1477,17,298,267,3618,12187,201790
TPA,"Tampa, FL: Tampa International",505,3,34,46,1389,6923,61544
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2109,10,491,992,6802,29766,373702
BOS,"Boston, MA: Logan International",1028,4,198,844,2942,10574,177400
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",727,7,70,404,1693,8008,85493
CLT,"Charlotte, NC: Charlotte Douglas International",1033,2,121,380,3076,9362,156635
DCA,"Washington, DC: Ronald Reagan Washington National",622,3,111,599,1917,7083,101867
DEN,"Denver, CO: Denver International",1870,14,286,657,5241,18321,282526
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2052,3,431,1203,5515,22731,298654
DTW,"Detroit, MI: Detroit Metro Wayne County",1732,7,163,792,4628,13841,277623
EWR,"Newark, NJ: Newark Liberty International",1040,9,166,671,4913,11818,324760
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",625,4,72,146,1990,5866,116876
IAD,"Washington, DC: Washington Dulles International",936,8,81,775,2087,7691,153171
IAH,"Houston, TX: George Bush Intercontinental/Houston",871,18,120,126,3052,16672,147244
JFK,"New York, NY: John F. Kennedy International",1028,7,124,985,3206,9640,221087
LAS,"Las Vegas, NV: McCarran International",1513,13,107,222,3522,13686,176615
LAX,"Los Angeles, CA: Los Angeles International",1572,12,189,420,4428,17794,221866
LGA,"New York, NY: LaGuardia",800,5,221,816,3355,9670,199659
MCO,"Orlando, FL: Orlando International",879,7,131,227,2705,9678,157120
MDW,"Chicago, IL: Chicago Midway International",691,13,98,430,1770,7320,94589
MIA,"Miami, FL: Miami International",483,1,133,131,1687,5363,93219
MSP,"Minneapolis, MN: Minneapolis-St Paul International",1226,16,127,531,3741,12073,221190
ORD,"Chicago, IL: Chicago O'Hare International",3780,9,301,2998,10968,28988,748144
PDX,"Portland, OR: Portland International",478,9,37,72,1171,4226,57738
PHL,"Philadelphia, PA: Philadelphia International",811,3,118,477,2470,8032,148130
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1339,24,138,355,3698,16411,180675
SAN,"San Diego, CA: San Diego International",634,9,45,159,1683,6920,80792
SEA,"Seattle, WA: Seattle/Tacoma International",756,13,76,156,2244,7720,115493
SFO,"San Francisco, CA: San Francisco International",951,7,103,389,3589,9938,212548
SLC,"Salt Lake City, UT: Salt Lake City International",1103,9,168,206,2780,11011,140133
TPA,"Tampa, FL: Tampa International",607,7,81,149,1819,6401,100424
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1851,7,327,710,6341,34033,356621
BOS,"Boston, MA: Logan International",1079,4,162,558,3645,12026,197244
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",823,8,49,227,1873,9075,94110
CLT,"Charlotte, NC: Charlotte Douglas International",1334,0,61,265,3905,10557,184318
DCA,"Washington, DC: Ronald Reagan Washington National",741,2,76,331,2266,7852,111598
DEN,"Denver, CO: Denver International",1537,21,105,308,3869,20757,209283
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1665,12,276,772,4840,25299,298977
DTW,"Detroit, MI: Detroit Metro Wayne County",1320,19,122,499,4138,15477,221462
EWR,"Newark, NJ: Newark Liberty International",1243,7,110,914,5303,13560,396842
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",692,1,46,113,1901,6822,100588
IAD,"Washington, DC: Washington Dulles International",823,5,54,310,2231,8672,129026
IAH,"Houston, TX: George Bush Intercontinental/Houston",1371,11,129,232,3767,18678,242766
JFK,"New York, NY: John F. Kennedy International",1095,8,161,522,4263,11014,245936
LAS,"Las Vegas, NV: McCarran International",1422,8,52,152,3166,15697,160824
LAX,"Los Angeles, CA: Los Angeles International",1322,11,118,316,3800,20069,185680
LGA,"New York, NY: LaGuardia",860,2,125,765,4190,10696,222512
MCO,"Orlando, FL: Orlando International",1055,7,68,144,2874,11240,156784
MDW,"Chicago, IL: Chicago Midway International",678,8,53,140,1723,8189,82737
MIA,"Miami, FL: Miami International",482,3,55,97,1521,5907,86721
MSP,"Minneapolis, MN: Minneapolis-St Paul International",1044,18,70,600,3391,13665,192864
ORD,"Chicago, IL: Chicago O'Hare International",3095,14,222,1942,10591,32447,840344
PDX,"Portland, OR: Portland International",365,7,19,36,959,4751,47139
PHL,"Philadelphia, PA: Philadelphia International",1031,3,66,400,3253,9116,186809
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1322,16,123,276,3884,18542,194848
SAN,"San Diego, CA: San Diego International",544,5,26,86,1365,7824,63475
SEA,"Seattle, WA: Seattle/Tacoma International",750,14,35,103,2203,8603,117662
SFO,"San Francisco, CA: San Francisco International",769,7,33,187,2011,11223,102135
SLC,"Salt Lake City, UT: Salt Lake City International",718,22,63,125,1914,12661,86566
TPA,"Tampa, FL: Tampa International",688,1,48,102,1810,7523,95714
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1826,7,299,446,5796,32891,305789
BOS,"Boston, MA: Logan International",898,6,175,285,3623,11404,213177
